Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,431283654.4766839,1023.42844404815,86,86,431283654.4766839,431283654.4766839,86256730.89533679,30,,,,,2023-10-31,2023-09-30,2023-10-31,ZIMBABWE,LOW,431283654.4766839,1.0,True,2023-10-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,293403916.6897816,18.77503227454492,87,87,293403916.6897816,293403916.6897816,58680783.337956324,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,293403916.6897816,2.0,True,2023-10-31
GRINDROD (SOUTH AFRICA),OK,96161107.14606473,60.97918933112757,87,87,96161107.14606473,96161107.14606473,19232221.429212946,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,96161107.14606473,3.0,True,2023-10-31
NASPERS (SOUTH AFRICA),OK,82256771.68328625,32.00270360464754,87,87,82256771.68328625,82256771.68328625,16451354.33665725,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,82256771.68328625,4.0,True,2023-10-31
FIRSTRAND (SOUTH AFRICA),OK,52283739.64094641,3.37739031282377,87,87,52283739.64094641,52283739.64094641,10456747.928189283,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,52283739.64094641,5.0,True,2023-10-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,39597532.283450775,15.70756221278828,87,87,39597532.283450775,39597532.283450775,7919506.456690155,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,39597532.283450775,6.0,True,2023-10-31
PROSUS (SOUTH AFRICA),OK,39419882.79798837,29.51117749069314,87,87,39419882.79798837,39419882.79798837,7883976.559597675,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,39419882.79798837,7.0,True,2023-10-31
ANGLO AMERICAN (SOUTH AFRICA),OK,38089511.5803125,27.78017240239495,87,87,38089511.5803125,38089511.5803125,7617902.3160625,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,38089511.5803125,8.0,True,2023-10-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,37603750.97342589,9.716475857688428,87,87,37603750.97342589,37603750.97342589,7520750.194685178,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,37603750.97342589,9.0,True,2023-10-31
PPC (SOUTH AFRICA),OK,31360155.70031158,14.80847616020444,87,87,31360155.70031158,31360155.70031158,6272031.140062316,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,31360155.70031158,10.0,True,2023-10-31
GOLD FIELDS (SOUTH AFRICA),OK,30850820.77102973,10.85831514446991,87,87,30850820.77102973,30850820.77102973,6170164.154205946,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,30850820.77102973,11.0,True,2023-10-31
MTN GROUP (SOUTH AFRICA),OK,30411199.568750083,5.968344766710968,87,87,30411199.568750083,30411199.568750083,6082239.913750017,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,30411199.568750083,12.0,True,2023-10-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,27017605.605980575,5.228449832849325,87,87,27017605.605980575,27017605.605980575,5403521.121196115,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,27017605.605980575,13.0,True,2023-10-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,26780997.320238803,16.11585305549106,87,87,26780997.320238803,26780997.320238803,5356199.464047761,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,26780997.320238803,14.0,True,2023-10-31
CAPITEC BANK (SOUTH AFRICA),OK,26572251.423282206,90.77225674301316,87,87,26572251.423282206,26572251.423282206,5314450.284656442,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,26572251.423282206,15.0,True,2023-10-31
ABSA (SOUTH AFRICA),OK,24317134.27129999,9.246306739601938,87,87,24317134.27129999,24317134.27129999,4863426.854259999,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,24317134.27129999,16.0,True,2023-10-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,22674864.244727753,31.38868071814763,87,87,22674864.244727753,22674864.244727753,4534972.848945551,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,22674864.244727753,17.0,True,2023-10-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,21297088.003411107,1.545899136295628,87,87,21297088.003411107,21297088.003411107,4259417.600682221,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,21297088.003411107,18.0,True,2023-10-31
MR PRICE (SOUTH AFRICA),OK,20048899.411093134,7.348706294501453,87,87,20048899.411093134,20048899.411093134,4009779.8822186273,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,20048899.411093134,19.0,True,2023-10-31
BID CORPORATION (SOUTH AFRICA),OK,19882772.568776738,22.33171092373687,87,87,19882772.568776738,19882772.568776738,3976554.5137553476,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,19882772.568776738,20.0,True,2023-10-31
BID CORP (SOUTH AFRICA),OK,19882772.568776738,22.33171092373687,87,87,19882772.568776738,19882772.568776738,3976554.5137553476,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,19882772.568776738,21.0,True,2023-10-31
FOSCHINI (SOUTH AFRICA),OK,19075994.046505883,5.230036455295061,87,87,19075994.046505883,19075994.046505883,3815198.809301177,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,19075994.046505883,22.0,True,2023-10-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,18524794.100706626,12.68451757951226,87,87,18524794.100706626,18524794.100706626,3704958.8201413252,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,18524794.100706626,23.0,True,2023-10-31
GLENCORE (SOUTH AFRICA),OK,17102625.97515174,5.718716168581808,87,87,17102625.97515174,17102625.97515174,3420525.1950303484,30,,,,,2023-10-31,2023-09-30,2023-10-31,SOUTH AFRICA,HIGH,17102625.97515174,24.0,True,2023-10-31
