Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),OK,172042953.74174288,28.52856677847125,88,172042953.74174288,172042953.74174288,34408590.74834858,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,172042953.74174288,1.0,True,2018-10-31
FIRSTRAND (SOUTH AFRICA),OK,61437388.30978101,4.704991579275109,88,61437388.30978101,61437388.30978101,12287477.661956202,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,61437388.30978101,2.0,True,2018-10-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,59217676.29997525,12.38341895583011,88,59217676.29997525,59217676.29997525,11843535.25999505,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,59217676.29997525,3.0,True,2018-10-31
MTN GROUP (SOUTH AFRICA),OK,57714879.50235342,6.197370469437722,88,57714879.50235342,57714879.50235342,11542975.900470685,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,57714879.50235342,4.0,True,2018-10-31
ANGLO AMERICAN (SOUTH AFRICA),OK,44439385.229839325,21.91794392787897,88,44439385.229839325,44439385.229839325,8887877.045967866,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,44439385.229839325,5.0,True,2018-10-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,41256053.32729697,11.98573430136288,88,41256053.32729697,41256053.32729697,8251210.665459394,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,41256053.32729697,6.0,True,2018-10-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,40819026.195952825,47.25158861574604,88,40819026.195952825,40819026.195952825,8163805.239190565,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,40819026.195952825,7.0,True,2018-10-31
ABSA (SOUTH AFRICA),OK,40502678.447952375,10.74739240577987,88,40502678.447952375,40502678.447952375,8100535.6895904755,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,40502678.447952375,8.0,True,2018-10-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,33081369.83491934,13.56161281648481,88,33081369.83491934,33081369.83491934,6616273.966983869,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,33081369.83491934,9.0,True,2018-10-31
SANLAM (SOUTH AFRICA),OK,29586437.534833148,5.598012991975544,88,29586437.534833148,29586437.534833148,5917287.50696663,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,29586437.534833148,10.0,True,2018-10-31
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,22590030.709905587,1.643810413393906,88,22590030.709905587,22590030.709905587,4518006.141981117,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,22590030.709905587,11.0,True,2018-10-31
MR PRICE (SOUTH AFRICA),OK,22352872.661615737,16.15222406204447,88,22352872.661615737,22352872.661615737,4470574.532323147,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,22352872.661615737,12.0,True,2018-10-31
BID CORP (SOUTH AFRICA),OK,21966798.91102986,20.86924524830524,88,21966798.91102986,21966798.91102986,4393359.782205972,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,21966798.91102986,13.0,True,2018-10-31
BID CORPORATION (SOUTH AFRICA),OK,21966798.91102986,20.86924524830524,88,21966798.91102986,21966798.91102986,4393359.782205972,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,21966798.91102986,14.0,True,2018-10-31
OLD MUTUAL (SOUTH AFRICA),OK,21391463.80599827,1.328210136005321,87,21391463.80599827,21391463.80599827,4278292.761199654,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,21391463.80599827,15.0,True,2018-10-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,19450240.461827874,3.509814744052421,88,19450240.461827874,19450240.461827874,3890048.092365575,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,19450240.461827874,16.0,True,2018-10-31
REMGRO (SOUTH AFRICA),OK,17363968.547613636,10.0008491487284,88,17363968.547613636,17363968.547613636,3472793.7095227274,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,17363968.547613636,17.0,True,2018-10-31
BIDVEST (SOUTH AFRICA),OK,17165844.55373363,13.09104289616326,88,17165844.55373363,17165844.55373363,3433168.9107467257,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,17165844.55373363,18.0,True,2018-10-31
FOSCHINI (SOUTH AFRICA),OK,17006758.20911648,10.74739240577987,88,17006758.20911648,17006758.20911648,3401351.6418232964,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,17006758.20911648,19.0,True,2018-10-31
VODACOM (SOUTH AFRICA),OK,16681267.694952607,8.869358468135694,88,16681267.694952607,16681267.694952607,3336253.538990522,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,16681267.694952607,20.0,True,2018-10-31
TIGER BRANDS (SOUTH AFRICA),OK,16412412.276736308,17.0516140902079,88,16412412.276736308,16412412.276736308,3282482.455347262,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,16412412.276736308,21.0,True,2018-10-31
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,15234913.130502015,12.02960698566354,88,15234913.130502015,15234913.130502015,3046982.6261004033,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,15234913.130502015,22.0,True,2018-10-31
TRUWORTHS INT (SOUTH AFRICA),OK,14787757.447054513,5.908659901781797,88,14787757.447054513,14787757.447054513,2957551.489410903,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,14787757.447054513,23.0,True,2018-10-31
CLICKS (SOUTH AFRICA),OK,14661744.118728459,12.38341895583011,88,14661744.118728459,14661744.118728459,2932348.823745692,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,14661744.118728459,24.0,True,2018-10-31
CAPITEC BANK (SOUTH AFRICA),OK,14561010.812644005,71.96818522764262,88,14561010.812644005,14561010.812644005,2912202.1625288012,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,14561010.812644005,25.0,True,2018-10-31
MONDI (SOUTH AFRICA),OK,14071092.57529002,27.41193620062554,88,14071092.57529002,14071092.57529002,2814218.5150580043,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,14071092.57529002,26.0,True,2018-10-31
INVESTEC (SOUTH AFRICA),OK,10364078.405483458,5.138765054699331,88,10364078.405483458,10364078.405483458,2072815.6810966916,30,,,,,2018-10-31,2018-09-30,2018-10-31,SOUTH AFRICA,HIGH,10364078.405483458,27.0,True,2018-10-31
