Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,1436722338.051515,1130.468181818182,82,1436722338.051515,1436722338.051515,287344467.61030304,30,,,,,2020-07-31,2020-06-30,2020-07-31,ZIMBABWE,LOW,1436722338.051515,1.0,True,2020-07-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,900158905.2321954,19.08669858931422,86,900158905.2321954,900158905.2321954,180031781.04643908,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,900158905.2321954,2.0,True,2020-07-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,293056474.4121212,384.1681818181819,83,293056474.4121212,293056474.4121212,58611294.882424235,30,,,,,2020-07-31,2020-06-30,2020-07-31,ZIMBABWE,LOW,293056474.4121212,3.0,True,2020-07-31
NASPERS (SOUTH AFRICA),OK,235174853.823019,36.47923643979444,86,235174853.823019,235174853.823019,47034970.7646038,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,235174853.823019,4.0,True,2020-07-31
PROSUS (SOUTH AFRICA),OK,65721944.11819072,42.42263832378423,86,65721944.11819072,65721944.11819072,13144388.823638145,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,65721944.11819072,5.0,True,2020-07-31
PPC (SOUTH AFRICA),OK,52474803.6020309,5.766374196167438,86,52474803.6020309,52474803.6020309,10494960.720406182,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,52474803.6020309,6.0,True,2020-07-31
FIRSTRAND (SOUTH AFRICA),OK,47751337.080476075,2.150280937750837,86,47751337.080476075,47751337.080476075,9550267.416095216,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,47751337.080476075,7.0,True,2020-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,45822665.745405704,29.15421129840295,86,45822665.745405704,45822665.745405704,9164533.14908114,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,45822665.745405704,8.0,True,2020-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,43873729.03606097,22.41447313792245,86,43873729.03606097,43873729.03606097,8774745.807212194,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,43873729.03606097,9.0,True,2020-07-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,36560651.988934286,2.173923071955124,86,36560651.988934286,36560651.988934286,7312130.397786858,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,36560651.988934286,10.0,True,2020-07-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,36102671.64732914,6.688994067554228,86,36102671.64732914,36102671.64732914,7220534.329465828,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,36102671.64732914,11.0,True,2020-07-31
GOLD FIELDS (SOUTH AFRICA),OK,34116700.63521376,9.354212221022816,86,34116700.63521376,34116700.63521376,6823340.127042753,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,34116700.63521376,12.0,True,2020-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,31057171.402976554,6.025861034994972,86,31057171.402976554,31057171.402976554,6211434.280595311,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,31057171.402976554,13.0,True,2020-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,28400390.69598645,38.61337152979601,86,28400390.69598645,28400390.69598645,5680078.13919729,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,28400390.69598645,14.0,True,2020-07-31
MTN GROUP (SOUTH AFRICA),OK,25420193.322060477,3.046375487835257,86,25420193.322060477,25420193.322060477,5084038.664412096,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,25420193.322060477,15.0,True,2020-07-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,23768970.303482138,15.05023665199701,86,23768970.303482138,23768970.303482138,4753794.060696428,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,23768970.303482138,16.0,True,2020-07-31
SANLAM (SOUTH AFRICA),OK,23164188.977628205,3.398700951221088,86,23164188.977628205,23164188.977628205,4632837.795525641,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,23164188.977628205,17.0,True,2020-07-31
ABSA (SOUTH AFRICA),OK,21850568.81069353,4.918717189330824,86,21850568.81069353,21850568.81069353,4370113.762138706,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,21850568.81069353,18.0,True,2020-07-31
CAPITEC BANK (SOUTH AFRICA),OK,18017946.587808892,49.16756622104127,86,18017946.587808892,18017946.587808892,3603589.3175617787,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,18017946.587808892,19.0,True,2020-07-31
BID CORPORATION (SOUTH AFRICA),OK,17586369.637029484,16.34767084613469,86,17586369.637029484,17586369.637029484,3517273.927405897,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,17586369.637029484,20.0,True,2020-07-31
BID CORP (SOUTH AFRICA),OK,17586369.637029484,16.34767084613469,86,17586369.637029484,17586369.637029484,3517273.927405897,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,17586369.637029484,21.0,True,2020-07-31
GRINDROD (SOUTH AFRICA),OK,16292865.910710922,16.78014891084725,86,16292865.910710922,16292865.910710922,3258573.1821421846,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,16292865.910710922,22.0,True,2020-07-31
FOSCHINI (SOUTH AFRICA),OK,15302949.779647619,3.24243221050495,86,15302949.779647619,15302949.779647619,3060589.955929524,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,15302949.779647619,23.0,True,2020-07-31
CLICKS (SOUTH AFRICA),OK,14774991.87718838,12.13014475905782,86,14774991.87718838,14774991.87718838,2954998.3754376764,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,14774991.87718838,24.0,True,2020-07-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,14727598.995587306,4.14371649736592,86,14727598.995587306,14727598.995587306,2945519.7991174613,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,14727598.995587306,25.0,True,2020-07-31
